run	metric	ms
before-1	indexed_first	1175
before-1	unindexed_first	321
before-1	paged_first	2721
before-1	indexed	891
before-1	unindexed	34
before-1	paged	1160
before-1	concurrent	255
before-1	indexed	949
before-1	unindexed	32
before-1	paged	1155
before-1	concurrent	239
before-1	indexed	861
before-1	unindexed	31
before-1	paged	1106
before-1	concurrent	257
current-1	indexed_first	1161
current-1	unindexed_first	324
current-1	paged_first	2697
current-1	indexed	859
current-1	unindexed	29
current-1	paged	1081
current-1	concurrent	260
current-1	indexed	1185
current-1	unindexed	37
current-1	paged	1073
current-1	concurrent	247
current-1	indexed	894
current-1	unindexed	32
current-1	paged	1150
current-1	concurrent	239
openldap-1	indexed_first	1047
openldap-1	unindexed_first	439
openldap-1	paged_first	909
openldap-1	indexed	895
openldap-1	unindexed	385
openldap-1	paged	1441
openldap-1	concurrent	291
openldap-1	indexed	773
openldap-1	unindexed	360
openldap-1	paged	1731
openldap-1	concurrent	283
openldap-1	indexed	611
openldap-1	unindexed	355
openldap-1	paged	1316
openldap-1	concurrent	235
current-2	indexed_first	1181
current-2	unindexed_first	314
current-2	paged_first	2924
current-2	indexed	882
current-2	unindexed	33
current-2	paged	1181
current-2	concurrent	252
current-2	indexed	937
current-2	unindexed	31
current-2	paged	1139
current-2	concurrent	249
current-2	indexed	1010
current-2	unindexed	36
current-2	paged	1129
current-2	concurrent	257
openldap-2	indexed_first	772
openldap-2	unindexed_first	360
openldap-2	paged_first	607
openldap-2	indexed	649
openldap-2	unindexed	339
openldap-2	paged	1153
openldap-2	concurrent	210
openldap-2	indexed	616
openldap-2	unindexed	337
openldap-2	paged	1142
openldap-2	concurrent	293
openldap-2	indexed	792
openldap-2	unindexed	355
openldap-2	paged	1173
openldap-2	concurrent	209
before-2	indexed_first	1229
before-2	unindexed_first	325
before-2	paged_first	2702
before-2	indexed	1141
before-2	unindexed	31
before-2	paged	1045
before-2	concurrent	237
before-2	indexed	771
before-2	unindexed	28
before-2	paged	1030
before-2	concurrent	234
before-2	indexed	789
before-2	unindexed	31
before-2	paged	1050
before-2	concurrent	370
openldap-3	indexed_first	696
openldap-3	unindexed_first	350
openldap-3	paged_first	586
openldap-3	indexed	656
openldap-3	unindexed	348
openldap-3	paged	1103
openldap-3	concurrent	201
openldap-3	indexed	625
openldap-3	unindexed	333
openldap-3	paged	1030
openldap-3	concurrent	201
openldap-3	indexed	595
openldap-3	unindexed	335
openldap-3	paged	1065
openldap-3	concurrent	204
before-3	indexed_first	1098
before-3	unindexed_first	313
before-3	paged_first	2672
before-3	indexed	834
before-3	unindexed	30
before-3	paged	1054
before-3	concurrent	246
before-3	indexed	821
before-3	unindexed	33
before-3	paged	1055
before-3	concurrent	230
before-3	indexed	801
before-3	unindexed	29
before-3	paged	1048
before-3	concurrent	268
current-3	indexed_first	1156
current-3	unindexed_first	319
current-3	paged_first	2856
current-3	indexed	960
current-3	unindexed	32
current-3	paged	1064
current-3	concurrent	243
current-3	indexed	922
current-3	unindexed	34
current-3	paged	1086
current-3	concurrent	263
current-3	indexed	909
current-3	unindexed	31
current-3	paged	1096
current-3	concurrent	234
